# Results for 200 trials
# n   time (msec)
# ---------------
5  0
10  1
15  3
20  4
25  6
30  8
35  0
40  0
45  1
50  1
55  1
60  1
65  2
70  2
75  2
80  2
85  2
90  3
95  3
100  3
105  3
110  3
115  3
120  3
125  4
130  4
135  4
140  5
145  6
150  6
155  6
160  7
165  7
170  7
175  8
180  7
185  8
190  8
195  9
200  9
